"Nom de l'offre";"Description";"URL";"Catégorie";"Mode de lecture";"Mode d'accès";"DRM";"Types d'œuvres";"Compatibilité";"Spécificités";"Régime juridique";"Label"
"Esperluete";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.esperluete.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Armitiere d'yvetot";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.armitiere-yvetot.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Librairie ryst";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.librairie-ryst.fr/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie attitude";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://livresnumeriques.librairie-attitude.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Les beaux titres";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://ebook.lesbeauxtitres.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Project Gutenberg";"Site mettant à disposition des internautes une offre de livres numériques gratuits issus d'œuvres tombées dans le domaine public.";"http://www.gutenberg.org/browse/languages/fr";"eBook";"Téléchargement";"Gratuit";"Non précisé";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Licences libres, Domaine public";""
"Apple iBooks";"L'Itunes Store permet de télécharger des livres numériques, proposant une offre généraliste des contenus, à visionner sur les terminaux d'Apple.";"https://itunes.apple.com/fr/genre/books/id38";"eBook";"Téléchargement";"Gratuit, Carte prépayée, À l'acte";"Non précisé";"Jeunesse / Éducatif, Presse / Revue, BD, Littérature, Format court, Livre pratique";"Mac Os X, iOS";"Livre enrichi, Livre homothétique, Livre audio";"Œuvres protégées, Domaine public";""
"Librairie Bisey";"Portail d'éditeurs et de producteurs indépendants, sur lequel sont accessibles via téléchargement une liste d'ebooks (publications scientifiques, actualité, revues, sciences sociales).";"http://bisey.tea-ebook.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Les libraires";"Librairie ayant développé sur son site web une offre généraliste de livres numériques à télécharger.";"http://www.leslibraires.fr/dossiers/livres-numeriques/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Atheles";"Librairie ayant développé sur son site web une offre généraliste de livres numériques à télécharger.";"http://atheles.org/cat-ebooks.html";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Presse / Revue, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Obreey";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://store.obreey.com/fra/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Lecteurs.com";"Service gratuit d'Orange permettant aux lecteurs d'échanger sur des livres et d'accéder à une bibliothèque de livres numériques tombés dans le domaine public.";"http://www.lecteurs.com/ebooks";"eBook";"Streaming, Téléchargement";"Gratuit";"Avec DRM, Sans DRM";"Littérature, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Read and go";"Service d'Orange permettant de télécharger et de lire en ligne des livres, magazines et journaux numériques issus d'une offre généraliste.";"http://read-and-go.orange.fr/";"eBook";"Streaming, Téléchargement";"À l'acte";"Non précisé";"Presse / Revue, Livre pratique, Littérature, BD, Jeunesse / Éducatif";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Livre homothétique";"Œuvres protégées";""
"Digit Books";"Digit Books édite des ouvrages au format numérique dans les domaines de l'informatique professionelle et personnelle, sur le Mac, sur le développement web, ainsi que des carnets de voyage multimédias.";"http://www.digitbooks.fr/";"eBook";"Streaming, Téléchargement";"À l'acte, Gratuit";"Sans DRM";"Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Bookcast";"Librairie en ligne, proposant une offre généraliste de livres numériques à télécharger.";"http://boutique.bookcast.fr/";"eBook";"Streaming, Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Presse / Revue, Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre audio, Livre homothétique";"Domaine public, Œuvres protégées";""
"Pica story";"Plateforme de téléchargement de livres numériques sépcialisée dans le format court.";"http://www.picastory.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"eboxeditions";"Plateforme de téléchargement de livres numériques qui met à disposition des usagers des œuvres notamment réalisées par des chercheurs, des experts, des professeurs, des écrivains.";"http://www.eboxeditions.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Neobook";"Maison d'édition proposant le téléchargement de livres numériques. Principalement consacré à la littérature, le service propose notamment un onglet spécialisé pour la ""littérature de nos terroirs"".";"http://neobook.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Bouquineo";"Librairie en ligne des Éditions Chemins de traverse, proposant une offre généraliste de livres numériques à télécharger.";"http://www.bouquineo.fr/";"eBook";"Streaming, Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Numérique premium";"Agrégateur de livres numériques sur l'ensemble des sciences humaines, rassemblés sous forme de bouquets thématiques d’au moins cent titres par bouquet. Ces bouquets sont proposés en abonnement annuel aux bibliothèques.";"http://www.numeriquepremium.com/";"eBook";"Streaming, Téléchargement";"Abonnement";"Avec DRM, Sans DRM";"Presse / Revue, Livre pratique, Littérature";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Ebook fantasy";"Site offrant aux internautes la possibilité de télécharger des livres numériques du genre Fantasy.";"http://www.ebook-fantasy.fr/";"eBook";"Streaming, Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Littérature, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Scopalto";"Plateforme des revues d'art et magazines culturels en Europe permettant de consulter ou d'acheter des revues en ligne.";"http://www.scopalto.com/";"eBook";"Téléchargement, Streaming";"Gratuit, À l'acte";"Non précisé";"Presse / Revue";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Zylom";"Zylom est un portail de jeux européen qui propose des jeux à télécharger ou à jouer en ligne gratuitement ou en paiement à l'acte.";"http://www.zylom.com/fr/";"Jeu vidéo";"Streaming, Téléchargement";"À l'acte, Abonnement, Gratuit";"Sans DRM";"Casual";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Dotemu";"DotEmu, éditeur, distributeur et développeur, permet  aux fans de retrogaming de retrouver plus de 300 jeux d'hier sur PC, Internet, iPhone, iPad, Android et autres supports récents.";"http://www.dotemu.com/fr";"Jeu vidéo";"Téléchargement";"À l'acte";"Non précisé";"Jeu classique";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Accès hors ligne";"Œuvres protégées";""
"Gamesload";"Gamesload est une plateforme de jeux vidéo éditée par T-mobile.";"http://www.gamesload.fr/";"Jeu vidéo";"Téléchargement";"À l'acte";"Sans DRM";"Jeu classique, Triple A, Core Gamer, Indépendant, Casual";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne";"Œuvres protégées";""
"King";"King est un portail de jeux vidéo sociaux et « casual ».";"http://www.king.com/?language=fr";"Jeu vidéo";"Téléchargement, Streaming";"Gratuit, À l'acte";"Sans DRM";"Casual";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Client / Appli";"Œuvres protégées";""
"Zynga";"Zynga est un portail de jeux vidéo sociaux.";"https://zynga.com/home/";"Jeu vidéo";"Téléchargement, Streaming";"Gratuit, À l'acte";"Sans DRM";"Casual";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Client / Appli";"Œuvres protégées";""
"Fotolia";"Fotolia propose aux particuliers et professionnels (agences de communication, de publicité, presse, TPE/PME, graphiste, web designer, etc.), une banque d'images de qualité pour l'illustration de tout projet web ou support imprimé (« print »), à vocation éditoriale, publicitaire ou commerciale. ";"http://fr.fotolia.com/";"Photo";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux, iOS";"";"Œuvres protégées";"1"
"istockphoto";"Banque d'images mettant à disposition des internautes des images et des photos, gratuites ou payantes.";"http://francais.istockphoto.com/";"Photo";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux, iOS";"";"Œuvres protégées";""
"Shutterstock";"Banque d'images mettant à disposition des internautes des milliers d'images et de photos, gratuites ou payantes, avec possiblité de souscrire à un abonnement.";"http://www.shutterstock.com/";"Photo";"Téléchargement";"Gratuit, Abonnement, À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux, iOS";"";"Œuvres protégées";""
"DLGamer";"DLGamer est une plateforme de téléchargement de jeux vidéo partenaire de nombreux éditeurs et diffuseurs.";"http://www.dlgamer.fr/";"Jeu vidéo";"Téléchargement";"À l'acte";"Sans DRM";"Jeu classique, Triple A, Core Gamer";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne";"Œuvres protégées";""
"Battlenet";"Plateforme éditée par Blizzard permettant de jouer en ligne avec la communauté Blizzard.";"http://eu.battle.net/fr/";"Jeu vidéo";"Streaming";"Gratuit, Abonnement, À l'acte";"Sans DRM";"Triple A, Core Gamer";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Client / Appli";"Œuvres protégées";""
"Gamesplanet";"Plateforme de téléchargement de jeux vidéo en ligne éditée par Metaboli.";"http://fr.gamesplanet.com/";"Jeu vidéo";"Téléchargement";"À l'acte";"Sans DRM";"Jeu classique, Triple A, Core Gamer, Indépendant, Casual";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"Big Fish";"Site de distribution de jeux « casual » à jouer en ligne ou en téléchargement.";"http://www.bigfishgames.fr";"Jeu vidéo";"Streaming, Téléchargement";"À l'acte";"Sans DRM";"Casual, Indépendant, Gambling";"Android, GNU / Linux, iOS, Mac Os X, RIM, Web, Windows";"";"Œuvres protégées";""
"Origin";"Plateforme de distribution des jeux Electronics arts ou partenaires de l'éditeur.";"https://www.origin.com/fr-fr/store/";"Jeu vidéo";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeu classique, Triple A, Core Gamer, Casual";"Web, Windows, Mac Os X, GNU / Linux";"Client / Appli";"Œuvres protégées";""
"Uplay";"Plateforme de distribution des jeux Ubisfot ou partenaires de l'éditeur.";"http://uplay.ubi.com/fr-FR/";"Jeu vidéo";"Téléchargement";"À l'acte, Gratuit";"Sans DRM";"Jeu classique, Core Gamer, Casual, Indépendant, Triple A";"Web, Windows, Mac Os X, GNU / Linux";"Client / Appli";"Œuvres protégées";""
"App store";"Plateforme de téléchargement d'applications du système d'exploitation iOs.";"https://itunes.apple.com";"Jeu vidéo";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeu classique, Core Gamer, Indépendant, Casual, Gambling";"iOS";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"Blackberry";"Plateforme de téléchargement d'applications du système d'exploitation RIM.";"http://appworld.blackberry.com/webstore/?";"Jeu vidéo";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeu classique, Core Gamer, Indépendant, Casual, Gambling";"RIM";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"Windows app world";"Plateforme de téléchargement d'applications du système d'exploitation Windows Phone et Windows Phone 8";"http://www.windowsphoneapplist.com";"Jeu vidéo";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeu classique, Core Gamer, Indépendant, Casual";"Web, Windows";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"B Box";"Plateforme de distribution de jeux vidéo sur la box Bouygues Telecom";"http://www.services.bouyguestelecom.fr/television/bbox-games";"Jeu vidéo";"Streaming";"Abonnement";"Sans DRM";"Jeu classique, Triple A, Core Gamer, Casual";"TV connectée";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"Orange";"Plateforme de distribution de jeux vidéo sur la box Orange et depuis le site Orange.fr et les smartphones.";"http://jeu.orange.fr/";"Jeu vidéo";"Streaming, Téléchargement";"À l'acte, Abonnement, Gratuit";"Avec DRM";"Jeu classique, Core Gamer, Casual, Indépendant, Triple A";"Android, GNU / Linux, Mac Os X, Web, Windows";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"123rf";"Banque d'images mettant à disposition des internautes des milliers d'images et de photos, gratuites ou payantes, avec possiblité de souscrire à un abonnement.";"http://fr.123rf.com/";"Photo";"Téléchargement";"Gratuit, Abonnement, Carte prépayée, À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux, iOS";"";"Œuvres protégées";""
"Corbis";"Banque d'images mettant à disposition des internautes des milliers d'images et de photos, gratuites ou payantes, avec possiblité de souscrire à un abonnement.";"http://www.corbisimages.com/";"Photo";"Téléchargement";"À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Europeana (BnF)";"Europeana est une bibliothèque numérique européenne lancée en novembre 2008 qui donne accès aux métadonnées de plus de 30 millions d'objets numériques (images, textes, sons, vidéos, ), notamment aux documents de Gallica, auxquels elle renvoie par des liens.";"http://www.europeana.eu/";"Photo";"Streaming";"Gratuit";"Non précisé";"Galerie photo";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Initiative publique";"Œuvres protégées";""
"Ulule";"Ulule est une plateforme de crowdfunding de projets créatifs, innovants, solidaires ou à portée citoyenne.";"http://fr.ulule.com/";"Crowdfunding";"";"";"Non précisé";"Musique, Vidéo, Jeu vidéo, Livre, Logiciel";"Web, Windows, Mac Os X, GNU / Linux";"Production, Distribution";"Œuvres protégées";""
"Touscoprod";"Touscoprod est un site participatif de financement communautaire. Depuis le lancement de la plateforme, 56 projets vidéo ont été produits sur le site de Touscoprod, parmi lesquels des films, des documentaires, et des séries TV. Au delà des vidéos accessibles sur le site, on retrouve un forum, ainsi qu’une partie actualité. La plateforme est reliée à plusieurs réseaux sociaux afin de pouvoir partager des contenus entre amateurs de cinéma et internautes passionnés du même sujet.";"http://touscoprod.fr/";"Crowdfunding";"";"";"Sans DRM";"Vidéo";"Web, Windows, Mac Os X, GNU / Linux";"Production";"Œuvres protégées";"1"
"Mymajorcompany";"My Major Company est une plateforme de financement participatif. Le site permet aux internautes de participer à la découverte, au lancement et au financement de projets dans les secteurs de la création et de la culture. Particulièrement actif dans la musique, My Major Company a notamment permis le lancement de Grégoire, Joyce Jonathan ou Irma.";"http://www.mymajorcompany.com/";"Crowdfunding";"";"";"Sans DRM";"Musique, Vidéo, Jeu vidéo, Livre, Logiciel";"Web, Windows, Mac Os X, GNU / Linux";"Production, Distribution";"Œuvres protégées";"1"
"Kiss kiss bank bank";"KissKissBankBank est une plateforme internationale de crowdfunding dédiée à la création et l'innovation.";"http://www.kisskissbankbank.com/";"Crowdfunding";"";"";"Non précisé";"Musique, Vidéo, Jeu vidéo, Livre, Logiciel";"Web, Windows, Mac Os X, GNU / Linux";"Production, Distribution";"Œuvres protégées";""
"Movies angels";"Movies Angels est un site de financement participatif. Il propose aux internautes d’investir dans des films de cinéastes confirmés. Les films proposés sont sélectionnés pour la qualité des équipes artistiques et techniques qu'ils fédèrent (cinéaste, producteur, acteurs, etc).";"http://www.movies-angels.com/";"Crowdfunding";"";"";"Sans DRM";"Vidéo";"Web, Windows, Mac Os X, GNU / Linux";"Production";"Œuvres protégées";"1"
"Oocto";"Oocto est un site de financement participatif dédié à la musique. Son objectif est de structurer toute l’aide qu’un artiste peut recevoir pour mener à bien son projet.";"https://www.oocto.com/";"Crowdfunding";"";"";"Sans DRM";"Musique";"Web, Windows, Mac Os X, GNU / Linux";"Production, Distribution";"Œuvres protégées";"1"
"MyTF1VOD";"Plateforme VOD de TF1, disponible sur plusieurs supports (IPTV, TV connectée, web).";"http://mytf1vod.tf1.fr/";"VOD & SVOD";"Streaming";"Abonnement, À l'acte";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert, Film de patrimoine, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST, Séries dispo 24h après diffusion";"Œuvres protégées";""
"Zphoto";"Banque d'images mettant à disposition des internautes des milliers de contenus libres de droits, de manière gratuite ou via un abonnement.";"http://www.zphoto.fr/";"Photo";"Téléchargement, Streaming";"Gratuit, Abonnement";"Non précisé";"Galerie photo";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Veer";"Banque d'images mettant à disposition des internautes des milliers de contenus libres de droits, de manière uniquement payante.";"http://www.veer.com/";"Photo";"Téléchargement";"Carte prépayée, À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Bigstock";"Banque d'images mettant à disposition des internautes des milliers d'images et de photos. Le site propose une formule sous forme d'abonnement et un forfait sous forme de crédits prépayés.";"http://www.bigstockphoto.com/fr";"Photo";"Téléchargement";"Gratuit, Abonnement, Carte prépayée";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Wallis photothèque";"Wallis propose une banque de plus de 300 000 images généralistes. Le fonds d’images de Wallis est composé de photographies de reportages maritimes, aériens, de photographies d’illustration. La plateforme est aussi spécialisée dans les images du Sud de la France. Au début de l’année 2012, la plateforme a lancé un nouveau site internet qui permet d’acheter directement des images en ligne.";"http://www.wallis.fr/";"Photo";"Téléchargement";"À l'acte";"Sans DRM";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";"1"
"Matton image";"Banque d'images mettant à disposition des internautes de nombreuses photos libres de droit et en droits gérés.";"http://www.matton.fr/";"Photo";"Téléchargement";"À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Scope image";"Banque d'image spécialisée sur les thématiques France, Vin, Voyage, Nature et Art de Vivre, mettant à disposition des internautes de nombreuses photos libres de droit et en droits gérés.";"http://www.scope-image.com/";"Photo";"Téléchargement";"À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux, iOS";"";"Œuvres protégées";""
"Photo 12";"Galerie de photos mettant à disposition des usagers les œuvres de différents photographes.";"http://www.photo12.com/";"Photo";"Téléchargement";"À l'acte";"Non précisé";"Galerie photo";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Biosphoto";"Banque d'images consacrée à la nature offrant la possibilité aux usagers de télécharger de manière payante des milliers de photos.";"http://www.biosphoto.com/";"Photo";"Téléchargement";"À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Dreamstime";"Banque d'images mettant à disposition des internautes des milliers d'images et de photos, gratuites ou payantes.";"http://fr.dreamstime.com/";"Photo";"Téléchargement";"Gratuit, Abonnement, Carte prépayée";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Canstockphoto";"Banque d'images professionnelles mettant à disposition des internautes des milliers de contenus libres de droits.";"http://www.canstockphoto.fr/";"Photo";"Téléchargement";"Abonnement, Carte prépayée, À l'acte";"Non précisé";"Banque d'images";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Librairie Montbarbon";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://montbarbon.tea-ebook.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"NRJ 12 Replay";"Plateforme de télévision de rattrapage de la chaîne NRJ12, disponible sur différents supports.";"http://www.nrj12.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Documentaire / Émission, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, RIM, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"LCP AN";"Plateforme de télévision de rattrapage de la chaîne L'équipe 21, entièrement consacrée au sport.";"http://www.lcp.fr/videos/emissions";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD";"Œuvres protégées";""
"Public sénat";"Plateforme de télévision de rattrapage de la chaîne Public Sénat, chaîne du Sénat, consacrée à l'information et à l'actualité.";"http://www.publicsenat.fr";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, TV connectée";"Qualité HD";"Œuvres protégées";""
"BBC World news";"Plateforme de télévision de rattrapage de la BBC consacrée à l'information et à l'actualité mondiale en direct.";"http://www.bbc.co.uk/news/world/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, RIM";"";"Œuvres protégées";""
"BFMTV";"Plateforme de télévision de rattrapage de la chaîne BFMTV, entièrement consacrée à l'information et à l'actualité en direct.";"http://www.bfmtv.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, RIM, TV connectée";"";"Œuvres protégées";""
"Boing";"Plateforme de télévision de rattrapage entièrement consacrée au jeune public.";"http://www.boingtv.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Dessin animé / Manga";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Boomerang";"Plateforme de télévision de rattrapage entièrement consacrée aux dessins animés.";"http://www.boomerangtv.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Dessin animé / Manga";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Canal + à la demande";"Plateforme de télévision de rattrapage du groupe Canal + avec l'essentiel des programmes.";"http://canalplusalademande.canal-plus.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert, Sport / Lifestyle";"Web, Windows, Mac Os X";"Qualité HD";"Œuvres protégées";""
"CNN";"Plateforme de télévision de rattrapage de la chaîne américaine CNN, entièrement consacrée à l'information et à l'actualité mondiale en direct.";"http://edition.cnn.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, RIM";"";"Œuvres protégées";""
"i>Télé";"Plateforme de télévision de rattrapage de la chaîne I-Télé, consacrée à l'information et à l'actualité.";"http://www.itele.fr/emissions";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"LCI";"Plateforme de télévision de rattrapage de la chaîne LCP, chaîne de l'Assemblée Nationale, consacrée à l'information et à l'actualité.";"http://lci.tf1.fr/chaîne-lci/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Equidia";"Plateforme de télévision de rattrapage de la chaîne Equidia, consacrée au monde du cheval et plus particulièrement aux courses hippiques.";"http://www.equidiawatch.fr";"TV replay";"Streaming";"Gratuit, Abonnement";"Non précisé";"Documentaire / Émission, Spectacle / Concert, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Gulli Replay";"Plateforme de télévision de rattrapage de la chaîne Gulli, entièrement dédiée à un public jeune, disponible sur différents supports.";"http://replay.gulli.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"";"Œuvres protégées";""
"D17";"Plateforme de télévision de rattrapage de la chaîne D17, disponible sur différents supports.";"http://www.d17.tv/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"HD1";"Plateforme de télévision de rattrapage de la chaîne HD1 du groupe TF1 (consacrée au cinéma, au court-métrage et à la fiction), disponible sur différents supports.";"http://www.hd1.tv/videos/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Film de patrimoine, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Numéro 23";"Plateforme de télévision de rattrapage de la chaîne Numéro 23, consacrée à toutes les diversités (ethniques, religieuses, culturelles, politiques), au handicap ainsi qu'aux familles recomposées, mono-parentales et homo-parentales.";"http://www.numero23.fr/replay/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Série TV, Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux, TV connectée";"Qualité HD";"Œuvres protégées";""
